ProbeID,Country Code,Violation Timeframe
1114 , CZ ," 2019-02-26 to 2019-02-26, 2022-06-25 to 2022-07-30, 2023-01-14 to 2023-02-18, 2023-03-04 to 2023-03-25, 2023-05-27 to 2023-07-22 "
30609 , SG ," 2019-04-23 to 2019-08-27, 2019-10-01 to 2019-10-01 "
6542 , US ," 2019-04-30 to 2019-12-24, 2020-01-02 to 2020-04-02 "
16891 , AU , 2019-06-18 to 2019-06-18 
1447 , IT ," 2019-07-16 to 2019-12-24, 2020-01-02 to 2020-08-13, 2020-08-27 to 2022-01-15 "
51405 , CA ," 2019-07-16 to 2019-12-24, 2020-01-02 to 2021-04-30 "
51331 , US , 2019-07-23 to 2019-07-23 
1000011 , US ," 2019-10-29 to 2019-12-24, 2020-01-02 to 2020-07-16, 2020-07-30 to 2020-08-13, 2020-08-27 to 2020-09-03, 2020-09-17 to 2020-10-01, 2020-10-15 to 2023-06-03 "
1000021 , DE ," 2019-10-29 to 2019-12-24, 2020-01-02 to 2020-08-13, 2020-08-27 to 2020-09-10, 2020-09-24 to 2023-06-17, 2023-07-01 to 2024-03-30 "
1000048 , CN ," 2019-12-03 to 2019-12-24, 2020-01-02 to 2020-02-20 "
1000049 , US ," 2019-12-03 to 2019-12-24, 2020-01-02 to 2020-03-05 "
52309 , US ," 2019-12-17 to 2019-12-17, 2020-01-02 to 2020-06-25 "
27148 , US , 2020-12-17 to 2020-12-17 
31807 , FR , 2020-12-31 to 2021-01-15 
6416 , DE , 2020-07-30 to 2020-08-13 
519 , PL , 2020-05-14 to 2020-05-28 
52560 , GB , 2020-08-27 to 2020-08-27 
55265 , CA ," 2020-09-17 to 2020-10-01, 2021-01-15 to 2021-02-12 "
13857 , JP , 2020-02-13 to 2020-05-07 
